[7/7/22 12:41AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 12:41AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 12:44AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 12:44AM] Sugary used command ::npc 948 | Player rights = DEVELOPER	
[7/7/22 12:45AM] Sugary used command :::npc 3299 | Player rights = DEVELOPER	
[7/7/22 12:45AM] Sugary used command ::npc 3299 | Player rights = DEVELOPER	
[7/7/22 12:45AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 12:52AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 12:56AM] Sugary used command ::npc 1394 | Player rights = DEVELOPER	
[7/7/22 02:06AM] Sugary used command ::npc 591 | Player rights = DEVELOPER	
[7/7/22 02:07AM] Sugary used command ::npc 8459 | Player rights = DEVELOPER	
[7/7/22 02:08AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 02:08AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 02:19AM] Sugary used command ::npc 8459 | Player rights = DEVELOPER	
[7/7/22 02:19AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 02:19AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 02:19AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 02:19AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 02:27AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 02:29AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 02:29AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 02:29AM] Sugary used command ::reload shops | Player rights = DEVELOPER	
[7/9/22 02:35PM] Sugary used command ::item 19114 | Player rights = DEVELOPER	
[7/9/22 02:35PM] Sugary used command ::bank | Player rights = DEVELOPER	
[7/9/22 02:37PM] Sugary used command ::item 19114 | Player rights = DEVELOPER	
[7/9/22 02:45PM] Sugary used command ::max | Player rights = DEVELOPER	
[7/9/22 03:52PM] Sugary used command ::prestigeicon 1 | Player rights = DEVELOPER	
[7/9/22 03:52PM] Sugary used command ::prestigeicon 1 | Player rights = DEVELOPER	
[7/9/22 03:52PM] Sugary used command ::prestigeicon 2 | Player rights = DEVELOPER	
[7/9/22 03:52PM] Sugary used command ::prestigeicon 3 | Player rights = DEVELOPER	
[7/9/22 03:52PM] Sugary used command ::prestigeicon 1 | Player rights = DEVELOPER	
[7/9/22 03:53PM] Sugary used command ::worldnpcs | Player rights = DEVELOPER	
[7/9/22 03:54PM] Sugary used command ::prestigeicon 2 | Player rights = DEVELOPER	
[7/9/22 03:56PM] Sugary used command ::skulled | Player rights = DEVELOPER	
[7/9/22 03:56PM] Sugary used command ::skull | Player rights = DEVELOPER	
[7/9/22 03:56PM] Sugary used command ::prestigeicon 2 | Player rights = DEVELOPER	
[7/9/22 03:56PM] Sugary used command ::prestigeicon 3 | Player rights = DEVELOPER	
[7/9/22 04:00PM] Sugary used command ::prestigeicon 2 | Player rights = DEVELOPER	
